trip_id,driver_id,date,start_time,end_time,duration_min,distance_km,fare,surge_multiplier,pickup_location,dropoff_location,trip_status
STRIP001,SDRV177,2024-02-06,14:55:00,15:19:00,24,13.8,320.94,1.5,Hitec City,Jayanagar,completed
STRIP002,SDRV039,2024-02-06,11:25:00,11:59:00,34,13.1,314.0,1.5,Andheri West,Gurgaon Cyber City,completed
STRIP003,SDRV140,2024-02-06,13:35:00,14:06:00,31,13.5,279.81,1.2,HSR Layout,Goregaon,completed
STRIP004,SDRV010,2024-02-06,15:40:00,16:10:00,30,12.3,298.94,1.4,Andheri,Banjara Hills,completed
STRIP005,SDRV095,2024-02-06,15:30:00,15:59:00,29,15.7,306.56,1.3,Gurgaon Cyber City,Electronic City,completed
STRIP006,SDRV150,2024-02-06,06:40:00,07:08:00,28,19.1,336.93,1.4,Worli,Hinjewadi,completed
STRIP007,SDRV142,2024-02-06,05:50:00,06:15:00,25,9.1,234.28,1.3,Hinjewadi,HSR Layout,completed
STRIP008,SDRV038,2024-02-06,20:40:00,21:03:00,23,21.0,350.68,1.2,Indiranagar,Banjara Hills,completed
STRIP009,SDRV111,2024-02-06,17:50:00,18:24:00,34,22.2,398.61,1.2,Connaught Place,Jayanagar,completed
STRIP010,SDRV033,2024-02-06,05:30:00,06:06:00,36,13.9,221.88,1.0,Hitec City,Koramangala,completed
STRIP011,SDRV011,2024-02-06,09:50:00,10:13:00,23,10.8,282.36,1.5,Hinjewadi,Goregaon,completed
STRIP012,SDRV079,2024-02-06,22:50:00,23:20:00,30,12.9,340.13,1.6,Powai,HSR Layout,completed
STRIP013,SDRV094,2024-02-06,17:15:00,17:51:00,36,16.1,357.31,1.4,Powai,South Delhi,completed
STRIP014,SDRV200,2024-02-06,05:25:00,05:59:00,34,22.3,499.53,1.6,Viman Nagar,Goregaon,completed
STRIP015,SDRV092,2024-02-06,19:20:00,19:54:00,34,22.0,542.57,1.6,Indiranagar,Electronic City,completed
STRIP016,SDRV054,2024-02-06,10:40:00,11:00:00,20,13.9,292.9,1.4,Electronic City,Connaught Place,completed
STRIP017,SDRV175,2024-02-06,05:50:00,06:09:00,19,17.2,429.17,1.6,South Delhi,BKC,completed
STRIP018,SDRV064,2024-02-06,21:05:00,21:40:00,35,9.8,212.03,1.1,Colaba,Bandra,completed
STRIP019,SDRV171,2024-02-06,15:00:00,15:31:00,31,18.2,408.65,1.4,Viman Nagar,Powai,completed
STRIP020,SDRV027,2024-02-06,18:50:00,19:21:00,31,12.9,293.51,1.3,CP,Goregaon,completed
STRIP021,SDRV091,2024-02-06,10:55:00,11:20:00,25,8.5,193.87,1.1,CP,Powai,completed
STRIP022,SDRV144,2024-02-06,17:25:00,17:50:00,25,19.2,339.9,1.3,Secunderabad,CP,completed
STRIP023,SDRV105,2024-02-06,18:30:00,19:06:00,36,11.2,341.22,1.6,Dwarka,Gurgaon Cyber City,completed
STRIP024,SDRV159,2024-02-06,15:25:00,15:59:00,34,9.7,179.55,1.0,Dwarka,Banjara Hills,completed
STRIP025,SDRV040,2024-02-06,15:00:00,15:38:00,38,14.8,251.02,1.2,South Delhi,Worli,completed
STRIP026,SDRV061,2024-02-06,13:40:00,14:08:00,28,15.4,298.67,1.2,Andheri,Connaught Place,completed
STRIP027,SDRV042,2024-02-06,11:50:00,12:22:00,32,13.8,303.65,1.5,Goregaon,Gurgaon Cyber City,completed
STRIP028,SDRV046,2024-02-06,07:10:00,07:41:00,31,14.1,320.42,1.6,Indiranagar,BKC,completed
STRIP029,SDRV106,2024-02-06,08:25:00,09:01:00,36,18.0,327.83,1.2,Koramangala,BKC,completed
STRIP030,SDRV007,2024-02-06,13:45:00,14:20:00,35,15.7,385.18,1.5,Bandra,Malad,completed
STRIP031,SDRV183,2024-02-06,15:30:00,15:58:00,28,9.0,199.91,1.2,Powai,Malad,completed
STRIP032,SDRV086,2024-02-06,19:05:00,19:33:00,28,18.4,305.56,1.3,Marathahalli,Kharadi,completed
STRIP033,SDRV182,2024-02-06,22:20:00,22:40:00,20,11.8,299.17,1.6,CP,Worli,completed
STRIP034,SDRV172,2024-02-06,16:40:00,17:13:00,33,11.6,202.18,1.0,Whitefield,Jayanagar,completed
STRIP035,SDRV193,2024-02-06,14:40:00,15:08:00,28,16.3,265.04,1.0,Colaba,Worli,completed
STRIP036,SDRV069,2024-02-06,11:40:00,12:06:00,26,19.2,319.21,1.2,BKC,Hinjewadi,completed
STRIP037,SDRV041,2024-02-06,11:50:00,12:15:00,25,21.9,271.35,1.0,Andheri West,Colaba,completed
STRIP038,SDRV028,2024-02-06,21:25:00,21:44:00,19,19.2,310.49,1.3,BKC,Goregaon,completed
STRIP039,SDRV098,2024-02-06,15:55:00,16:30:00,35,14.3,394.83,1.6,Electronic City,CP,completed
STRIP040,SDRV207,2024-02-06,05:00:00,05:33:00,33,16.9,419.06,1.5,Malad,BKC,completed
STRIP041,SDRV121,2024-02-06,16:30:00,16:56:00,26,21.8,346.02,1.3,Hinjewadi,Marathahalli,completed
STRIP042,SDRV057,2024-02-06,13:45:00,14:13:00,28,11.9,200.9,1.0,Colaba,Connaught Place,completed
